id,role_id,first_name,last_name,brand_name,email,avatar,email_verified_at,password,role_verified_status,is_company,remember_token,settings,created_at,updated_at,reference_name,company_id,is_approved,phone_number,date_of_birth,billing_address_line1,billing_address_line2,billing_address_city,billing_address_state,billing_address_post_code,billing_address_country,delivery_address_line1,delivery_address_line2,delivery_address_city,delivery_address_state,delivery_address_post_code,delivery_address_country
1,1,Carla,Carla,Carla,Carla.Carla1@example.com,users/default.png,,abcdefghijklmnopqrstuvwxyz,,,,,2021-05-28 11:31:06,2022-01-29 10:49:05,,,,,,,,,,,,,,,,,
31,1,Jill,Jill,Jill,Jill.Jill31@example.com,users/default.png,,abcdefghijklmnopqrstuvwxyz,,,,,2019-04-03 23:53:36,2022-01-29 10:49:05,,1,,,,,,,,,,,,,,,
48,3,John,John,John,John.John48@example.com,users/default.png,,abcdefghijklmnopqrstuvwxyz,,,,,2019-06-03 07:00:58,2022-01-29 10:49:05,PEA,2,,,,,,,,,,,,,,,
61,3,Cassandra,Cassandra,Cassandra,Cassandra.Cassandra61@example.com,users/default.png,,abcdefghijklmnopqrstuvwxyz,,,,,2019-06-11 09:04:55,2022-01-29 10:49:05,LIA,3,,,,,,,,,,,,,,,
62,3,Dan,Dan,Dan,Dan.Dan62@example.com,users/default.png,,abcdefghijklmnopqrstuvwxyz,,,,,2019-06-11 18:10:50,2022-01-29 10:49:05,BOA,4,,,,,,,,,,,,,,,
66,3,Christopher,Christopher,Christopher,Christopher.Christopher66@example.com,users/default.png,,abcdefghijklmnopqrstuvwxyz,,,,,2019-06-24 09:02:56,2022-01-29 10:49:05,ACA,5,,,,,,,,,,,,,,,
93,3,Misty,Misty,Misty,Misty.Misty93@example.com,users/default.png,,abcdefghijklmnopqrstuvwxyz,,,,,2019-08-07 23:47:44,2022-01-29 10:49:05,GOA,6,,,,,,,,,,,,,,,
97,3,Dominic,Dominic,Dominic,Dominic.Dominic97@example.com,users/default.png,,abcdefghijklmnopqrstuvwxyz,,,,,2019-08-21 05:35:20,2022-01-29 10:49:05,REA,7,,,,,,,,,,,,,,,
100,4,Brian,Brian,Brian,Brian.Brian100@example.com,users/default.png,,abcdefghijklmnopqrstuvwxyz,,,,,2019-08-29 18:54:15,2022-01-29 10:49:05,,8,1,,,,,,,,,,,,,,
102,3,Spencer,Spencer,Spencer,Spencer.Spencer102@example.com,users/default.png,,abcdefghijklmnopqrstuvwxyz,,,,,2019-09-04 16:35:06,2022-01-29 10:49:05,SEA,9,,,,,,,,,,,,,,,
104,4,Jason,Jason,Jason,Jason.Jason104@example.com,users/default.png,,abcdefghijklmnopqrstuvwxyz,,,,,2019-09-18 05:19:47,2022-01-29 10:49:05,,10,,,,,,,,,,,,,,,
112,3,Denise,Denise,Denise,Denise.Denise112@example.com,users/default.png,,abcdefghijklmnopqrstuvwxyz,,,,,2019-10-12 14:10:27,2022-01-29 10:49:05,LIB,11,,,,,,,,,,,,,,,
117,3,Jeremy,Jeremy,Jeremy,Jeremy.Jeremy117@example.com,users/default.png,,abcdefghijklmnopqrstuvwxyz,,,,,2019-10-22 14:32:42,2022-01-29 10:49:05,LAA,12,,,,,,,,,,,,,,,
121,3,Jeff,Jeff,Jeff,Jeff.Jeff121@example.com,users/default.png,,abcdefghijklmnopqrstuvwxyz,,,,,2019-10-26 04:16:25,2022-01-29 10:49:05,JOA,13,,,,,,,,,,,,,,,
122,3,Barbara,Barbara,Barbara,Barbara.Barbara122@example.com,users/default.png,,abcdefghijklmnopqrstuvwxyz,,,,,2019-10-28 18:32:46,2022-01-29 10:49:05,WAA,14,,,,,,,,,,,,,,,
123,3,Jason,Jason,Jason,Jason.Jason123@example.com,users/default.png,,abcdefghijklmnopqrstuvwxyz,,,,,2019-11-01 02:20:53,2022-01-29 10:49:05,JAA,15,,,,,,,,,,,,,,,
125,4,Nancy,Nancy,Nancy,Nancy.Nancy125@example.com,users/default.png,,abcdefghijklmnopqrstuvwxyz,,,,,2019-11-07 11:12:22,2022-01-29 10:49:05,,16,1,,,,,,,,,,,,,,
127,3,Paul,Paul,Paul,Paul.Paul127@example.com,users/default.png,,abcdefghijklmnopqrstuvwxyz,,,,,2019-11-12 07:26:54,2022-01-29 10:49:05,PAA,17,,,,,,,,,,,,,,,
144,3,Sean,Sean,Sean,Sean.Sean144@example.com,users/default.png,,abcdefghijklmnopqrstuvwxyz,,,,,2019-11-21 06:33:45,2022-01-29 10:49:05,GEA,18,,,,,,,,,,,,,,,
